date_scraped,season,team,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won,turnover_won,lineouts_lost,lineout_steals,scrums_won,scrums_lost
2026-07-12,2025/26,Benetton,327,40,33,25,,"1,923","6,341",88,335,140,"2,473",419,269,170,16,1,225,79,33,16,85,10
2026-07-12,2025/26,Cardiff,374,55,40,11,,"3,030","6,769",103,369,122,"2,752",385,244,183,13,1,233,104,43,12,115,15
2026-07-12,2025/26,Connacht,463,65,60,14,,"2,779","8,111",104,422,129,"3,036",369,210,187,9,1,201,95,35,24,117,8
2026-07-12,2025/26,DHL Stormers,559,67,61,60,,"2,410","8,047",113,556,160,"2,242",402,276,185,17,1,294,83,27,21,122,11
2026-07-12,2025/26,Dragons,350,43,44,15,,"1,974","5,741",69,369,56,"2,722",298,218,188,9,1,227,88,37,13,98,9
2026-07-12,2025/26,Edinburgh,362,57,40,3,,"2,140","6,865",90,368,122,"2,626",350,236,170,9,1,232,86,36,17,118,6
2026-07-12,2025/26,Glasgow,533,75,75,1,,"2,999","9,276",109,518,134,"2,480",300,247,190,10,,283,98,29,17,100,9
2026-07-12,2025/26,Leinster,630,92,76,10,,"2,741","8,882",125,411,171,"2,598",393,298,197,17,2,248,89,24,21,113,11
2026-07-12,2025/26,Lions,542,75,56,26,,"1,861","7,210",109,404,200,"2,457",389,226,163,12,2,240,100,47,7,111,8
2026-07-12,2025/26,Munster,410,60,46,12,,"2,179","6,530",84,318,117,"2,810",391,251,193,10,1,226,113,30,15,100,13
2026-07-12,2025/26,Ospreys,376,55,53,7,,"2,047","6,211",91,342,108,"2,534",343,215,169,14,2,224,94,52,8,97,17
2026-07-12,2025/26,Scarlets,361,51,38,11,,"1,954","5,753",73,314,129,"2,402",375,207,207,18,1,236,107,25,22,92,10
2026-07-12,2025/26,Sharks,467,70,50,7,,"1,812","6,405",87,378,123,"1,745",322,269,167,7,1,237,62,33,36,113,5
2026-07-12,2025/26,Ulster,494,70,64,8,,"2,179","7,745",100,426,145,"2,642",361,243,177,12,2,192,100,29,15,92,14
2026-07-12,2025/26,Vodacom Bulls,640,91,92,16,,"2,546","10,878",141,467,212,"2,557",400,317,191,15,,244,109,30,13,129,6
2026-07-12,2025/26,Zebre,312,43,35,15,,"1,576","4,992",59,289,126,"2,440",332,220,182,16,3,215,104,44,4,98,14
